index	condition	pre_test	post_test
0	0	27	40
1	0	31	34
2	0	30	nan
3	0	20	nan
4	0	41	54
5	0	39	51
6	0	20	33
7	0	27	36
8	0	79	83
9	0	33	46
10	0	22	29
11	0	22	41
12	0	29	nan
13	0	25	nan
14	0	41	47
15	0	23	36
16	0	17	30
17	0	93	100
18	0	34	40
19	0	23	27
20	0	48	53
21	0	19	26
22	0	28	33
23	0	38	46
24	0	22	34
25	0	34	45
26	0	36	49
27	0	33	47
28	0	40	41
29	0	39	52
30	1	24	50
31	1	38	62
32	1	34	51
33	1	37	nan
34	1	31	44
35	1	37	57
36	1	25	50
37	1	23	37
38	1	12	38
39	1	31	56
40	1	36	46
41	1	34	48
42	1	85	100
43	1	41	59
44	1	14	37
45	1	7	29
46	1	30	54
47	1	42	62
48	1	25	44
49	1	29	53
50	1	17	40
51	1	40	63
52	1	29	46
53	1	33	nan
54	1	24	50
55	1	38	53
56	1	26	48
57	1	41	nan
58	1	37	65
59	1	41	61
